profit,is_bad,is_poor,is_fine,is_good,is_excellent,year,budget,run_time,rating,open_theater_count,release,is_A24,is_Drama,is_Comedy,is_Thriller,is_Action,is_Adventure,is_Sci-Fi
521.077945,0,0,0,0,1,2021,200.0,143,5.2,4179.0,20210625,0,0,0,1,1,0,0
64.616294,0,0,1,0,0,2021,82.0,107,5.9,2301.649025,20210702,0,0,1,0,0,1,0
72.135949,0,0,1,0,0,2021,18.0,108,5.8,3355.0,20210723,0,1,0,1,0,0,0
-9.490379,0,1,0,0,0,2021,27.0,137,6.1,2301.649025,20210924,0,1,0,0,0,0,0
12.24066,0,0,1,0,0,2021,30.0,85,5.5,3211.0,20210604,0,0,1,0,0,1,0
110.854215,0,0,0,1,0,2021,20.0,105,5.5,2301.649025,20211015,0,0,0,1,1,0,0
41.510518,0,0,1,0,0,2021,16.0,92,7.4,2301.649025,20210326,0,1,0,1,1,0,0
58.994245,0,0,1,0,0,2021,18.0,103,5.4,2301.649025,20210702,0,0,0,1,1,0,0
52.395789,0,0,1,0,0,2021,25.0,91,5.9,1251.0,20210827,0,0,0,1,0,0,0
317.904663,0,0,0,0,1,2021,85.0,110,7.4,2301.649025,20211222,0,0,1,0,0,1,0
126.89247,0,0,0,1,0,2021,100.0,134,7.3,3892.0,20210528,0,1,1,0,0,1,0
282.243292,0,0,0,0,1,2021,150.0,132,7.4,2301.649025,20210903,0,0,0,0,1,1,1
16.782367,0,0,1,0,0,2021,100.0,107,7.3,2045.0,20210305,0,1,1,0,1,1,0
179.751655,0,0,0,1,0,2021,200.0,134,6.7,2301.649025,20210709,0,0,0,0,1,1,1
10.384144,0,0,1,0,0,2021,200.0,128,6.6,4310.0,20210730,0,0,1,0,1,1,0
202.064929,0,0,0,1,0,2021,200.0,156,6.3,2301.649025,20211105,0,0,0,0,1,1,1
80.816429,0,0,1,0,0,2021,150.0,109,7.2,3980.0,20211124,0,0,1,0,0,0,0
82.545984,0,0,1,0,0,2021,50.0,101,5.3,2301.649025,20210226,0,0,1,0,0,1,0
313.064628,0,0,0,0,1,2021,155.0,113,6.3,3064.0,20210331,0,0,0,1,1,0,1
28.508369,0,0,1,0,0,2021,55.0,110,6.0,2301.649025,20210423,0,0,0,1,1,1,1
-2.398369,0,1,0,0,0,2021,20.0,100,6.0,2301.649025,20210514,0,1,0,1,1,0,0
160.271845,0,0,0,1,0,2021,40.0,112,6.3,3102.0,20210604,0,0,0,1,0,0,0
-11.320172,0,1,0,0,0,2021,55.0,143,7.3,2301.649025,20210611,0,1,0,0,0,0,0
-5.996251,0,1,0,0,0,2021,150.0,115,4.5,3965.0,20210715,0,0,1,0,0,1,1
-17.879768,0,1,0,0,0,2021,185.0,132,7.2,2301.649025,20210805,0,0,1,0,1,1,1
-52.548992,1,0,0,0,0,2021,68.0,116,5.9,3265.0,20210820,0,0,0,1,0,0,1
-6.013717,0,1,0,0,0,2021,40.0,111,6.2,2301.649025,20210910,0,0,0,0,0,0,0
-18.290938,0,1,0,0,0,2021,33.0,104,5.7,3967.0,20210917,0,1,0,0,0,0,0
-37.267961,1,0,0,0,0,2021,50.0,120,6.3,2301.649025,20211001,0,1,0,0,0,0,0
233.24992,0,0,0,0,1,2021,165.0,156,8.0,915.0,20211022,0,1,0,0,1,1,1
-11.994439,0,1,0,0,0,2021,50.0,144,7.5,2301.649025,20211119,0,1,0,0,0,0,0
-33.532183,0,1,0,0,0,2021,190.0,148,5.7,3552.0,20211222,0,0,0,0,1,0,1
-18.94172,0,1,0,0,0,2021,26.0,126,7.4,2301.649025,20210212,0,1,0,0,0,0,0
-0.264778,0,1,0,0,0,2021,30.0,128,6.3,2171.0,20210129,0,1,0,1,0,0,0
47.307235,0,0,1,0,0,2022,90.0,127,6.3,2301.649025,20220211,0,1,0,0,0,0,0
1920.250281,0,0,0,0,1,2022,400.0,192,7.6,4202.0,20221216,0,0,0,0,1,1,1
116.140735,0,0,0,0,1,2022,25.0,139,7.8,2301.649025,20220408,1,0,1,0,1,1,1
-19.270146,1,0,0,0,0,2022,20.0,96,6.7,24.0,20220304,1,1,0,0,0,0,1
8.747742,0,0,1,0,0,2022,1.0,103,7.0,2301.649025,20220916,1,1,0,1,0,0,0
51.883206,0,0,0,0,1,2022,3.0,117,7.7,2.0,20221221,1,1,0,0,0,0,0
-20.36689,0,1,0,0,0,2022,90.0,137,6.447046414,2301.649025,20220413,0,1,0,0,0,0,0
52.651384,0,0,1,0,0,2022,40.0,124,7.4,3820.0,20220520,0,1,0,0,0,0,0
70.563999,0,0,1,0,0,2022,10.0,96,6.8,2301.649025,20220204,0,0,1,0,1,0,0
113.743924,0,0,0,1,0,2022,24.0,114,6.3,1413.0,20220114,0,0,0,1,0,0,0
124.907684,0,0,0,1,0,2022,68.0,112,6.447046414,2301.649025,20220325,0,1,0,0,0,0,0
200.408513,0,0,0,1,0,2022,17.0,115,6.5,2301.649025,20220930,0,0,0,1,0,0,0
1325.696292,0,0,0,0,1,2022,170.0,130,8.2,2301.649025,20220527,0,1,0,0,1,0,0
49.6282,0,0,1,0,0,2022,30.0,107,7.2,3211.0,20221118,0,0,1,1,0,0,0
43.279806,0,0,1,0,0,2022,50.0,135,6.9,2301.649025,20220916,0,1,0,0,1,0,0
60.979946,0,0,1,0,0,2022,50.0,106,6.1,4350.0,20221007,0,0,1,0,0,1,0
63.098822,0,0,1,0,0,2022,50.0,126,7.5,2301.649025,20230113,0,1,1,0,0,0,0
120.353965,0,0,0,1,0,2022,24.0,125,7.2,3650.0,20220715,0,1,0,1,0,0,0
92.460961,0,0,0,1,0,2022,75.0,104,5.2,2301.649025,20220401,0,0,0,1,1,1,1
149.268602,0,0,0,1,0,2022,90.0,127,7.3,4357.0,20220805,0,0,1,1,1,0,0
287.141258,0,0,0,0,1,2022,120.0,116,6.3,2301.649025,20220218,0,0,0,0,1,1,0
69.774243,0,0,1,0,0,2022,15.0,101,6.5,3677.0,20220218,0,1,1,0,0,0,0
84.361355,0,0,1,0,0,2022,20.0,111,5.0,2301.649025,20221014,0,1,0,1,0,0,0
108.767214,0,0,0,1,0,2022,60.0,104,6.1,3543.0,20221021,0,0,1,0,0,0,0
103.235592,0,0,0,1,0,2022,68.0,130,6.8,2301.649025,20220722,0,0,0,1,0,0,1
167.968621,0,0,0,1,0,2022,12.0,102,6.4,3509.0,20230106,0,0,0,1,0,0,1
816.97808,0,0,0,0,1,2022,185.0,147,5.6,4676.0,20220610,0,0,0,1,1,1,1
510.928081,0,0,0,0,1,2022,250.0,118,6.2,2301.649025,20220708,0,0,1,0,1,1,1
609.208836,0,0,0,0,1,2022,250.0,161,6.7,4396.0,20221111,0,1,0,0,1,1,1
660.755804,0,0,0,0,1,2022,295.0,126,6.9,2301.649025,20220506,0,0,0,0,1,1,1
202.740048,0,0,0,1,0,2022,85.0,159,7.3,2301.649025,20220624,0,1,0,0,0,0,0
193.252111,0,0,0,1,0,2022,200.0,125,6.2,2301.649025,20221021,0,0,0,0,1,1,1
207.150844,0,0,0,0,1,2022,200.0,142,6.2,4208.0,20220415,0,0,0,0,0,1,0
570.962583,0,0,0,0,1,2022,200.0,176,7.8,2301.649025,20220304,0,1,0,1,1,0,0
83.159005,0,0,1,0,0,2023,12.0,102,6.4,3628.0,20230106,0,0,0,1,0,0,1
-4.234782,0,1,0,0,0,2023,5.0,111,4.5,925.0,20230113,0,0,0,1,0,0,1
7.111181,0,0,1,0,0,2023,25.0,107,6.5,3060.0,20230113,0,0,0,1,1,1,0
6.502247,0,0,1,0,0,2023,2.5,100,4.4,1400.0,20230113,0,0,1,0,0,0,0
25.502025,0,0,1,0,0,2023,7.0,111,7.1,3025.0,20230120,0,1,0,1,0,0,0
-6.206278,0,1,0,0,0,2023,7.5,95,5.0,465.0,20230127,0,0,1,0,0,0,0
15.39798,0,0,1,0,0,2023,20.0,100,6.1,3657.0,20230203,0,0,0,1,0,0,0
11.330588,0,0,1,0,0,2023,28.0,98,5.8,3939.0,20230203,0,1,1,0,0,0,0
-13.994844,0,1,0,0,0,2023,40.0,112,5.2,3034.0,20230210,0,1,1,0,0,0,0
14.504909,0,0,1,0,0,2023,200.0,124,6.1,4345.0,20230217,0,0,1,0,1,1,1
29.67024,0,0,1,0,0,2023,35.0,95,5.9,3571.0,20230224,0,0,1,1,0,0,0
